,name,x,y,layer,i,j
221,6946602,4735281.996524,17296326.997383,1,208,248
222,6947301,4767083.996189,17312336.000508,1,212,275
223,6947306,4773913.003076999,17307346.996826,1,218,277
224,6947502,4762359.994841999,17295751.001481,1,221,265
225,6947503,4752106.003965,17299556.00017,1,214,260
226,6947602,4768833.994594,17298329.001159,1,222,270
227,6947603,4770637.996598001,17293169.999251,1,226,269
228,6947604,4773981.000856,17289465.996371,1,230,269
229,6948102,4790510.999837,17309235.998804,1,224,288
230,6948303,4813532.997930001,17311560.99529,1,233,303
231,6948402,4784018.001684,17299620.005294,1,228,280
232,6950101,4546974.001475,17267288.006512,1,145,119
233,6950302,4568693.002012,17256243.996875,1,161,127
234,6950306,4578914.9984760005,17264816.002956,1,160,137
235,6950324,4576119.000458,17260671.999894,1,161,134
236,6951202,4611915.998318,17262189.000887,1,176,157
237,6951301,4611922.996648001,17262174.002545003,1,176,157
238,6951401,4584681.998785,17243770.002235,1,176,132
239,6951602,4608187.998086,17244319.994529,1,186,147
240,6951606,4617148.002804,17250664.003082998,1,186,155
241,6952202,4643435.0054440005,17269736.00004,1,185,180
242,6952403,4622055.000277,17252801.003333,1,186,159
243,6952404,4624117.9956519995,17250478.999160998,1,189,159
244,6953701,4666351.995774,17234164.002683,1,217,178
245,6954401,4710921.9995099995,17248667.004896,1,227,212
246,6956501,4802427.002412001,17244887.002699,1,270,267
247,6956507,4801178.00386,17243992.997557998,1,270,266
248,6956508,4800392.997104,17244398.000055,1,269,266
249,6963103,4748723.000985,17221490.003461,1,261,224
250,7040801,4484893.999501,17317339.000079002,1,87,102
251,67013BB,5164710.005207,17537337.000674,1,246,619
252,67013CC,5171218.003415,17538995.001078,1,247,624
253,67013EE,5169622.995708,17537201.000993,1,248,622
254,67014AA,5143337.002665,17521762.003674,1,246,599
255,67014SW,5141383.004399,17521461.000504002,1,245,598
256,67015AA,5148602.004461,17521464.001571,1,248,602
257,67015DH,5152670.998790001,17532842.999318,1,243,610
258,67015PG,5151964.997523,17529857.002143,1,245,608
259,67015PLC,5153799.996266,17520702.000928,1,251,605
260,67015RD,5152576.999456,17530888.996012,1,244,609
261,67015RW,5152881.996801,17528531.996816,1,246,608
262,67016AW,5160331.003866999,17527539.000365,1,250,612
263,67016AW2,5159239.998766,17527818.002515,1,249,612
264,67016CC,5162910.005030001,17534502.999706,1,247,617
265,67016EN,5162512.995125,17525969.998323,1,252,613
266,67017AA,5139949.9984410005,17514923.998628,1,249,594
267,67017BB,5141495.996081,17516990.999289002,1,248,596
268,6701813A,5154946.995223001,17510874.999358,1,258,602
269,6701813B,5154946.995223001,17510874.999358,1,258,602
270,6701814A,5154474.994894001,17511120.999761,1,257,602
271,67018BB,5154901.0013419995,17512078.999275,1,257,602
272,67018CC,5154085.998741,17511763.995132,1,257,602
273,67018DD,5148570.00135,17509316.004993,1,256,597
274,67018EE,5158014.005058999,17517141.997782998,1,255,606
275,67018FF,5157287.000246,17515133.002210997,1,256,605
276,67018SMC,5153169.001259,17510835.000139,1,257,601
277,67019AA,5158937.998341001,17519280.002304003,1,254,608
278,67091AA,5135098.999775,17498733.001339998,1,257,584
279,67091BB,5142626.998271,17502084.995111,1,258,590
280,67091CC,5134890.000826,17490613.999601003,1,262,581
281,67091EC,5145486.002278,17504248.997927,1,258,593
